year,country,artist,song,all_languages,main_language,lyrics_original,lyrics_english,bpm,tone,dancers,stage_director,place,points,running_order,top_3_words
1956,Luxembourg,Michèle Arnaud,Les Amants de minuit,French,French,"Les amants de minuit par hasard se rencontrent Par hasard se rencontrent Et quant à ce qui suit - bonheur ou malencontreux Seule le sait la nuit  À l'angle de deux rues, aux tables d'un café Au long d'une avenue, deux ombres sont venues Et puis, les jeux sont faits  Pas de mots inutiles, pas de bais...","Midnight lovers, by chance meet together By chance meet together And, about what will follow, happiness or unfortunate Only knows the night  At the corner of two streets, at a café tables On the avenue, two shadows had come And then, the die is cast  No pointless words, no lost kisses No lost kisses...",,,,,2,,13,"chance, meet, together"
1956,Italy,Tonina Torielli,Amami se vuoi,Italian,Italian,"Mi piace tanto accarezzarti Sugli occhi timidi baciarti Ma non mi sento di giurarti Se tu mi chiedi eterno amor  Abbandoniamoci al destino Soltanto lui non sa ingannar E se rimango a te vicino Non lusingarti, ma non disperar, no  Amami se vuoi, tienimi se puoi Io son l'amor che svanisce Ma dei baci ...","I really like caressing you Kissing your shy eyes But I don't feel like swearing If you ask me for eternal love  Let's give ourselves up to destiny He's the only one who can't cheat And if I stay near you Don't flatter yourself, but don't despair, no  Love me if you want to, hold me if you can I'm t...",110,F major,,,2,,14,"dont, like, love"
1957,Netherlands,Corry Brokken,Net als toen,Dutch,Dutch,Zit niet zo suf met die eeuwige krant Gaap niet van slaap of verveling 'K Ben toch je vrouw en ik eet uit je hand Maar 'k eet niet van de bedeling  Kijk me niet aan of je denkt: 'leef je nog?' Ben ik nog altijd die vrouw Waarmee je destijds - wanneer was dat toch? Per se dat avontuurtje hebben wou  ...,Don't be so drowsy with that eternal paper Don't yawn from sleep or boredom I'm your wife and I eat out of your hand But I don't eat from charity  Don't look at me as if you think: 'are you still alive?' Am I still that woman With whom you once - when was it again? - Wanted to have that little adven...,120,Ab major,,,1,31,6,"dont, eat, still"
1957,France,Paule Desjardins,La Belle Amour,French,French,"Si vous aimez la nature, les lilas, les p'tits oiseaux Le Muscadet, la friture et la belle aventure Suivez le bord de l'eau  Vous verrez une guinguette où vous pourrez vous griser Aux flonflons d'un bal musette, des yeux clairs de Lisette Avant de décider dans un baiser de tout oser  Comme l'eau cou...","If you like nature, lilacs and birdies Muscadet, fried foods and the beautiful adventure Follow the water side  You'll see a ballroom where you could get drunk In Lisette's clear eyes, on the pom-poms of a musette ball Before deciding in a kiss to dare everything  Like the water flows in the fountai...",100,Bb minor,,,2,17,8,"like, water, nature"
1957,Denmark,Birthe Wilke & Gustav Winckler,Skibet skal sejle i nat,Danish,Danish,"Farvel da, min tøs, og hold dig nu kvik Jeg tilstår, mit hjerte gi'r li'som et stik Imens jeg kysser dig nu Jeg elsker dig, du Men skibet skal sejle i nat Men skibet skal sejle i nat  Vi mødtes i sjov, vi sværmede lidt Men det, der var letsind, blev alvor med ét Og du blev alting for mig Nu er der k...","Goodbye then, my lass, stay well I confess, my heart gives kind of a twinge While I'm kissing you now I love you But the ship is leaving tonight But the ship is leaving tonight  We met in fun, we courted a little But what was carelessness, suddenly became serious And you became everything to me Now ...",97,Eb major,,,3,10,9,"now, ship, leaving"
1957,Luxembourg,Danièle Dupré,Tant de peine,French,French,Toi que j'aime Tu m'as fait tant de peine Mais comment effacer Les jours passés?  Tant de peine Au long des jours je traîne Mendiant au souvenir Un peu de toi  Ta voix dans un rêve Je m'en souviens Murmurait sans trêve Ne demandait rien Tu étais si tendre Ce soir d'été Comment se défendre De t'écout...,"You, that I love You made me so much sad How to erase The passing days?  So much sadness Whole days long I'm hanging around Begging to my remembrance A little bit from you  Your voice in a dream I remember Whispered unremittingly Didn't ask nothing You were so tender This summer night How to forbid ...",117,Bb major,,,4,8,2,"much, days, love"
1957,Germany,Margot Hielscher,"Telefon, Telefon",German,German,"Hallo – how do you do? Hallo – merci beaucoup So klingt's aus allen Ländern an mein Ohr Hallo – grazie, sì, sì Hallo – nada por mí Mein Herz ist schon vergeben, no señor  Telefon, Telefon, wenn dein Ruf erklingt Frag ich mich beim ersten Ton, was er Neues bringt Telefon, Telefon, still vergeht die Z...","Hello – how do you do? Hello – thank you very much That's what I hear from every country Hello – thanks, yes, yes Hello – nothing for me My heart is already taken, no sir  Telephone, telephone, whenever your call is heard At the very first ring I ask myself, what news you'll bring Telephone, telepho...",112,C major,,,4,8,7,"hello, telephone, yes"
1957,Italy,Nunzio Gallo,Corde della mia chitarra,Italian,Italian,È tornata L'hanno accolta le stesse cose L'hanno attesa le stesse rose Dolce sogno dagli occhi verdi È tornata ma è troppo tardi Troppo tardi per chi aspettò  Corde della mia chitarra Se la mano trema sull'accordo Se la musica si perde Nell'indifferenza di uno sguardo  Corde della mia chitarra Perch...,"She's back The same things welcomed her The same roses welcomed her Sweet green eyed dream She's back, but it's too late Too late for the one who waited  Strings of my guitar If my hand is trembling on a chord If music fades away In the indifference of a glance  Strings of my guitar Why do you stop,...",132,C minor,,,6,7,4,"shes, back, welcomed"
1957,United Kingdom,Patricia Bredin,All,English,English,"All the golden dreams of yesterday All the fragrance of a bygone May All the words two hearts in love can say All you'll ever mean to me, my darling  All we've shared throughout the passing years All the laughter, all the sighs, the tears All the joy of living, loving and forgiving These are all to ...","All the golden dreams of yesterday All the fragrance of a bygone May All the words two hearts in love can say All you'll ever mean to me, my darling  All we've shared throughout the passing years All the laughter, all the sighs, the tears All the joy of living, loving and forgiving These are all to ...",154,F major,,,7,6,3,"golden, dreams, yesterday"
1957,Belgium,Bobbejaan Schoepen,Straatdeuntje,Dutch,Dutch,Langs de straten danst er een deuntje En ik blijf even staan Waar komt toch dat aardige deuntje Wel zo ineens vandaan?  Het speelt in de bomen Dartelt in de wind Het is niet te tomen 't Wordt al gauw m'n vriend  Langs de straten zweeft er een deuntje 't Is of een zonnestraal Doordringt met dat aardi...,"Along the streets, a tune is dancing And for a moment I stand still Where is that pretty tune All of a sudden coming from?  It's playing in the trees Frolicking in the wind It can't be bridled It's soon becoming my friend  Along the streets, a tune is floating It's as if a sunbeam Is penetrating wit...",185,Eb major,,,8,5,1,"tune, along, streets"
1957,Switzerland,Lys Assia,L'Enfant que j'étais,French,French,"L'enfant que j'étais, où joue-t-il aujourd'hui? Les fleurs que j'aimais, qui me les a cueillies? Mon cœur, te souviens-tu les robes blanches Sur le chemin perdu de nos dimanches?  Des mots pour chanter un visage d'ami Des nuits pour rêver, j'étais riche à l'envie Quand le cœur aux aguets la mèche fo...","The child that I was, where does she play today? Flowers I used to love, who picked them for me? My heart, do you remember the white dresses On the losing ways of our Sundays?  Words to sing a friend's face Nights to dream, I was so rich When the heart on the watch, the straggling lock Goes to schoo...",120,Bb major,,,8,5,10,"heart, child, play"
1957,Austria,Bob Martin,"Wohin, kleines Pony?",German,German,"Wohin, kleines Pony, woll'n wir reiten? Wohin soll mein Lied uns heut' begleiten? Zu deinen Herden, den kleinen Pferden? Dort sind die Täler unendlich weit  Wohin, kleines Pony, woll'n wir reiten? Wohin soll mein Lied uns heut' begleiten? Zur grünen Weide, dort in der Heide Wo ich einst küßte, zur R...","Where, little pony, do we want to ride to? Where should my song accompany us today? To your herds, the little horses? There the valleys are immensely wide  Where, little pony, do we want to ride to? Where should my song accompany us today? To the green pasture, there in the moorland Where once I've ...",102,C# major,,,10,3,5,"little, pony, want"
1958,France,André Claveau,Dors mon amour,French,French,"Dors, mon amour Le soleil est encore loin du jour Nous avons pour aimer tout le temps Et la nuit nous comprend  Dors, mon amour Protégée par mes bras qui entourent Ton sommeil d'un rideau de bonheur Dors au creux de mon cœur  Je suis un roi qui tient tout son royaume en ses doigts Et qui tremble de ...","Sleep, my love The sun is still far from the day We have all the time to love And the night understands us  Sleep, my love Protected by my arms that surround Your sleep with a curtain of happiness Sleep onto my heart  I'm a king that holds his whole kingdom in his fingers And that shivers of seeing ...",164,A major,,,1,27,3,"sleep, love, sun"
1958,Switzerland,Lys Assia,Giorgio,German & Italian,German & Italian,"Oh Giorgio, Giorgio Oh Giorgio vom Lago Maggiore Giorgio, ein Weekend mit dir in Ascona In Ascona am Lago Maggiore Mit Chianti, Chianti, Chianti, Chianti, Chianti Ein Weekend mit dir Und Risotto, Risotto, Risotto, Risotto, Risotto, Risotto, Risotto Oh Giorgio, ein Weekend mit dir in Ascona In Ascona...","Oh George, George Oh George from the lake Maggiore George, a weekend with you in Ascona In Ascona at the lake Maggiore With chianti, chianti, chianti, chianti, chianti A weekend with you And risotto, risotto, risotto, risotto, risotto, risotto, risotto Oh George, a weekend with you in Ascona In Asco...",155,C major,,,2,24,10,"risotto, george, chianti"
1958,Italy,Domenico Modugno,"Nel blu, dipinto di blu",Italian,Italian,"Penso che un sogno così non ritorni mai più Mi dipingevo le mani e la faccia di blu Poi d'improvviso venivo dal vento rapito E incominciavo a volare nel cielo infinito  Volare, oh oh… Cantare, ohohoho… Nel blu dipinto di blu Felice di stare lassù  E volavo, volavo felice Più in alto del sole ed anco...","I think such a dream will never come back I painted my hands and my face blue Then suddenly I was ravished by the wind And I started flying in the infinite sky  Flying, oh oh… Singing, ohohoho… Blue painted in the blue Happy to be up there  And I was flying, flying happily Higher than the sun and ev...",139,Bb major,,,3,13,1,"flying, blue, painted"
1958,Sweden,Alice Babs,Lilla stjärna,Swedish,Swedish,"La la la la la la la la la… la la la la la la la la la… La la la la la la la la la… la la la la la la la la la…  Natt över land och stad, sovande hus Rutor som blänker av stjärnornas ljus Flicka i fönstret står, ser mot det blå Är bara femton år, tänker ändå  Lilla stjärna i det höga, svara mig, sva...","La la la la la la la la la… la la la la la la la la la… La la la la la la la la la… la la la la la la la la la…  Night over countryside and town, sleeping houses The windows glitter, because of the star light A girl standing by the window, looking up to the blue Just fifteen years old, but still she...",178,Bb major,,,4,10,5,"la…, night, countryside"
1958,Belgium,Fud Leclerc,Ma petite chatte,French,French,"J'étais dans un jour de cafard Ça peut vous arriver demain J'allais dans les rues au hasard Sans but et ne pensant à rien  Quand j'ai l'aperçu, elle s'avançait vers moi C'est à n'pas y croire, mais voilà  Elle avait tous les atouts dans son jeu Et du chic jusqu'au bout des doigts Des arguments, en v...","It was a melancholy day It might happen to you tomorrow I was walking around in the streets Aimlessly and thinking about nothing  When I perceived her, she came to me It's unbelievable, but it's true  She had all the trump cards in her game And the skills up to her fingertips Arguments, as much as y...",144,Eb major,,,5,8,7,"melancholy, day, might"
1958,Austria,Liane Augustin,Die ganze Welt braucht Liebe,German,German,Die ganze Welt braucht Liebe Wer ist schon gern allein? Ein kleines bißchen Liebe Soll's bei mir anders sein?  Im großen Weltgetriebe Hat selbst der kleinste Stein Ein kleines zweites Steinchen Soll's bei mir anders sein? Nein  Auch mein Herz hat Sehnsucht Und braucht ein zweites Herz Das mich zu ve...,The whole world needs love Who likes to be alone? A little bit of love Should it be different with me?  In the big gear of the world Even the smallest stone has Another little stone Should it be different with me? No  My heart too has longing And it needs a second heart That tries to understand me I...,110,Bb major,,,5,8,9,"world, needs, love"
1958,Germany,Margot Hielscher,Für zwei Groschen Musik,German,German,"Man wählte die Miss Germany, Miss Frankreich und Miss Italy Es gibt sogar Miss Mode und Miss Bein Doch weil Musik ein jeder liebt Und es Miss Jukebox noch nicht gibt Möcht ich so gerne mal Miss Jukebox sein  Für zwei Groschen Musik, für zwei Groschen Musik Und der Alltag versinkt, wenn froh Musik er...","They chose Miss Germany, Miss France and Miss Italy There are also Miss Fashion and Miss Leg But since everybody likes music And there is no Miss Jukebox yet I just want to be Miss Jukebox for once  Music for two pence, music for two pence And everyday life fades away when happy music is played Musi...",164,F major,,,7,5,8,"miss, music, jukebox"
1958,Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,Danish,"Dengang du gik i vrede, så fortrød jeg Fejlen var min - fornuften, tja… den snød mig Det, vi havde sammen, var smukt og stort Ved du, hvad jeg nu i dag har gjort?  Jeg rev et blad ud af min dagbog Hvert lille ord har jeg fortrudt, du kære Hvad nytter det, at jeg er bagklog Hvis du syn's, alt skal væ...","When you left in anger, I regretted The fault was mine - the reason, well… it tricked me What we had together, was beautiful and great Do you know what I've done today?  I tore a page out of my diary Every little word I regret, my dear What's the use, that I'm wise afterwards If you think, everythin...",143,C major,,,8,3,6,"left, anger, regretted"
1958,Netherlands,Corry Brokken,Heel de wereld,Dutch,Dutch,Heel de wereld moet ik m'n geheim vertellen Omdat ik gelukkig ben Heel de wereld gaat voor mij nu dubbel tellen Omdat ik 't geluk nu ken  Maar heeft deze wereld het niet te druk? Wie heeft er nog tijd voor geluk? Toch wil ik juichen want Heel de wereld moet ik m'n geheim vertellen Omdat ik gelukkig ...,I must tell my secret to the whole world Because I'm happy The whole world is now twice as important to me Because now I know what happiness is  But isn't this world too busy? Who still has time for happiness? Yet I want to cheer because I must tell my secret to the whole world Because I'm happy  Sh...,164,Ab major,,,9,1,2,"world, whole, must"
1958,Luxembourg,Solange Berry,Un grand amour,French,French,"Un grand amour, cela commence Sans qu'on y pense le plus souvent Et l'on écoute une romance Née d'un silence bien émouvant  Car vous savez lorsque l'on s'aime Les mots eux-mêmes sont de trop À quoi bon rêver d'un poème? L'instant suprême est bien plus beau  Des yeux qui se détournent vite Et puis hé...","A great love, that begins Without thinking about it most of the time And we listen to a romance Born from a stirring silence  Because you know when we love each other Even words are too much What's the use of dreaming of a poem? The supreme moment is much nicer  Eyes which are turning away quickly A...",143,C# minor,,,9,1,4,"love, much, great"
1959,Netherlands,Teddy Scholten,Een beetje,Dutch,Dutch,"Ik wou dat je hart een kast was met een deurtje En dat ik kon kijken in het interieurtje Dan moest je oprecht zijn, goed of slecht, maar echt zijn En dan zei je al gauw, als ik vroeg: ""Ben je trouw?""  Een beetje, verliefd is iedereen wel eens, dat weet je Je wilt verstandig zijn, maar dat vergeet je...","I wanted your heart to be a closet with a little door And that I could look in the little interior Then you had to be sincere, good or bad, but true And then you'd soon say, when I asked: ""Are you faithful?""  A bit, everyone is in love at least once, you know that You want to be sensible, but you fo...",139,C minor,,,1,21,5,"little, wanted, heart"
1959,United Kingdom,Pearl Carr & Teddy Johnson,Sing Little Birdie,English,English,"Sing, sing, sing, little birdie Sing, sing, sing it  There's a bird on a branch There's a branch on a tree There's a tree in the meadow And that's where I long to be  'Neath that bird on a branch 'Neath that branch on a tree 'Neath that tree in the meadow Where you said you love me  Sing, little bir...","Sing, sing, sing, little birdie Sing, sing, sing it  There's a bird on a branch There's a branch on a tree There's a tree in the meadow And that's where I long to be  'Neath that bird on a branch 'Neath that branch on a tree 'Neath that tree in the meadow Where you said you love me  Sing, little bir...",115,A major,,,2,16,10,"sing, branch, tree"
1959,France,Jean Philippe,"Oui, oui, oui, oui",French,French,"Oui, oui, oui, oui, oui, oui, oui Nous ferons le tour du monde Avec mon trois mâts joli Oui, oui, oui, oui, oui, oui  Nous n'aurons plus pour amis Que la brise vagabonde Et le soleil de midi Oui, oui, oui, oui, oui, oui  Va, mon bateau, va Danse ton mât, claque ta voile Va, mon bateau, va Pour elle ...","Yes, yes, yes, yes, yes, yes, yes We'll go round the world With my pretty threemaster Yes, yes, yes, yes, yes, yes  We will only have as friends The wandering breeze And the midday sun Yes, yes, yes, yes, yes, yes  Go, my ship, go Let your mast dance, let your sail flap Go, my ship, go For her and m...",120,A major,,,3,15,1,"yes, ship, let"
1959,Switzerland,Christa Williams,Irgendwoher,German,German,"Fremder Himmel, fremde Sterne, endlos wie die Ewigkeit Such' ich rastlos in der Ferne traurig die Vergangenheit  Irgendwoher, kommt übers Meer eine Liebesmelodie Sehnsucht und Schmerz erfüllt mein Herz Unsre Zeit vergess' ich nie  Du, Märchen vom Glück, bitte komm' doch zurück Lass' mich nicht einsa...","Unknown sky, unknown stars, endless like eternity Searching restless in the distance sadly the past  From somewhere comes over the sea a melody of love Longing and pain fill my heart I never forget our time together  Oh, fairytale of luck, please come back Don't let me be lonely I didn't know that m...",164,C# major,,,4,14,8,"unknown, sky, stars"
1959,Denmark,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",Danish,Danish,"Elsker man fuldt, elsker man helt Er ingen delt natur Og man er tro, tro mod amour Så vil jeg elskes igen Lyt derfor til mig, min ven  For uh... jeg ville ønske, jeg var dig Uh... hvor skulle jeg dog elske mig Klappe min kind og stryge mit hår Og skænke mig sol og vår Tusinde kys og tusinde kæl Det ...","If you love fully, you love entirely You're no divided nature And you're faithful, faithful to amour Then I want to be loved back Therefore listen to me, my friend  For ooh, I'd wish I were you Ooh, how I'd love me Pat my cheek and stroke my hair And give me sun and spring A thousand kisses and a th...",122,C major,,,5,12,2,"love, youre, faithful"
1959,Italy,Domenico Modugno,Piove,Italian,Italian,"Mille violini suonati dal vento Tutti i colori dell'arcobaleno Vanno a fermare una pioggia d'argento Ma piove, piove sul nostro amor  Ciao, ciao, bambina, un bacio ancora E poi per sempre ti perderò Come una fiaba, l'amore passa C'era una volta poi non c'è più  Cos'è che trema sul tuo visino? È piog...","A thousand violins, played by the wind All the rainbow's colours Are going to stop a silver rain But it's raining, it's raining on our love  Bye, bye baby, one more kiss And then I'll lose you forever Like a fairy tale love goes by Once upon a time it was here, then it isn't anymore  What's tremblin...",143,G major,,,6,9,3,"raining, love, bye"
1959,Belgium,Bob Benny,Hou toch van mij,Dutch,Dutch,"Meer dan een rijkdom, meer dan een macht Meer dan een roem naar trouw of naar pracht Liefste, verlang ik naar jou  Al m'n geluk, al wat ik betracht Ligt in jouw hand, zo blank en zo zacht Liefste, verhoor mij toch gauw  Hou toch van mij Zoveel als de bloem van zonneschijn houdt Teder, omdat de zon h...","More than fortune, more than power More than glory of fidelity and beauty Darling, I long to you  All my luck, all that I foster Lies in your hand, so white and so soft Darling, do grant me soon  Do love me As much as the flower loves sunshine Tenderly, because the sun opens its petals  Do love me A...",119,C major,,,6,9,11,"darling, love, fortune"
1959,Germany,Alice and Ellen Kessler,Heut' woll'n wir tanzen geh'n,German,German,"Hallo, Boy, heute Abend wollen wir tanzen gehn Hallo, Boy, heute wollen wir uns im Rhythmus drehn Hast du Zeit? Dann komm mit, sag nicht nein Heute wollen wir glücklich sein  Hallo, Boy, heute Abend ist die Band so gut Hallo, Boy, und wir haben doch Musik im Blut Hast du Zeit? Dann komm mit, sag nic...","Hello, boy, tonight we want to go dancing Hello, boy, tonight we want to move to the rhythm Have you got some time? Then come along, don't say no Today we want to be happy  Hello, boy, tonight the band is really good Hello, boy, and we've got music in our blood Have you got some time? Then come alon...",136,Ab major,,,8,5,6,"hello, boy, tonight"
1959,Sweden,Brita Borg,Augustin,Swedish,Swedish,"Kära barn, stanna hemma i afton är du snäll Redan mörkret nästan fallit på Snälla mamma, du vet, vi ska träffas just i kväll Inte ska han väl ensam då gå? Om han får vänta sekunden på sin vän Går han genast hem och kommer aldrig mer igen  Augustin väntar aldrig på en flicka som är kär Han är ung, ha...","Dear child, can't you stay at home this evening Darkness has almost already fallen Please mother, you know we're going to meet tonight You don't want him to go by himself, do you? If he has to wait a second for his friend He goes straight home and never comes back  Augustin never waits for a girl wh...",112,G major,,,9,4,7,"home, never, dear"
1959,Austria,Ferry Graf,Der K. und K. Kalypso aus Wien,German,German,Kalypso aus Caracas? Kalypso aus Rio? O nein! Kalypso aus Mexiko? Aus Wien muß er sein!  Das ist der K. und K. Kalypso aus Wien Der Kalypso aus Wien Da spürt man hie und da auch Straußmelodien Doch etwas Paprika liegt ebenfalls drin Im K. und K. Kalypso aus Wien Im Kalypso aus Wien  Der kommt nicht ...,"Calypso from Caracas? Calypso from Rio de Janeiro? Oh no! Calypso from Mexico? It must be from Vienna!  That is the K. and K. calypso from Vienna The calypso from Vienna Now and then, you can also hear melodies of Strauss But a bit of red pepper is also included In the K. and K. calypso from Vienna ...",154,G minor,,,9,4,9,"calypso, vienna, also"
1959,Monaco,Jacques Pills,Mon ami Pierrot,French,French,"Mon pauvre Pierrot, tu fais le gros dos Et ta mine est triste comme ta vie d'artiste On ne t'aime plus, tes chansons d'amour Sont trop ingénues, laisse là tes habits de velours  Le public, d'un bravo, décida de ton sort Faut tirer le rideau sur ta vie Fini la comédie, ton théâtre est bien mort Et to...","My poor Pierrot, you make your bow And your face is sad like your life of an artist You're not loved anymore, your love songs Are too innocent, leave your velvet clothes behind  The public, with a cheer, decided your fate Must drag the curtain over your life The comedy has finished, your theatre is ...",143,E minor,,,11,1,4,"life, poor, pierrot"
